NAME,MASS,PER
,mjupiter,day
WASP-78 b,0.883997,2.17517656
Kepler-108 c,0.224011,190.323494
HD 86264 b,6.62738,1475
Kepler-942 b,0.0158698,44.96417488
Kepler-266 c,0.0481581,107.723601
Kepler-1094 b,0.0302544,78.1000231
Kepler-1194 b,0.0121297,16.22371307
8 UMi b,1.52093,93.4
Kepler-1291 b,0.0123008,8.63043276
Kepler-239 c,0.019783,56.228098
Kepler-524 b,0.014034,7.97419807
HD 82943 c,1.58936,219.3
Kepler-205 c,0.0121773,20.306546
Kepler-319 b,0.0121124,4.362705
Kepler-162 c,0.0273861,19.446355
Kepler-126 c,0.0117926,21.869741
HD 216536 b,1.48058,148.6
Kepler-728 b,0.0335331,5.74347727
Kepler-384 c,0.00450004,45.348269
Kepler-669 b,0.0772573,4.12554687
Kepler-1046 b,0.0126737,14.37508035
iota Hor b,2.04683,302.8
Kepler-716 b,0.0252452,10.37168453
HD 37124 d,0.68665,1862
Kepler-853 b,0.0125233,7.16892463
Kepler-690 b,0.118744,7.74809437
Kepler-1500 b,0.00553813,15.0330105
Kepler-1316 b,0.0383032,87.9732136
Kepler-921 b,0.0247111,51.300634
HD 192263 b,0.639382,24.3556
K2-3 c,0.0129801,24.6454
HD 204313 b,3.50088,1920.1
Kepler-1079 b,0.0120821,13.24503188
Kepler-771 b,0.0133743,8.73485836
Kepler-212 c,0.0227766,31.805174
Kepler-53 c,0.0299365,38.5583038
Kepler-707 b,0.00796813,2.23749275
Kepler-1211 b,0.0201979,11.01816836
Kepler-321 b,0.0130508,4.915379
Kepler-1442 b,0.0495748,81.4162941
Kepler-402 d,0.00893492,8.921099
Kepler-339 d,0.00508144,10.558345
Kepler-407 b,0,0.6693109
Kepler-756 b,0.00437411,1.22486632
TrES-3 b,1.91,1.30619
Kepler-188 b,0.0124398,2.061897
HIP 14810 b,3.87441,6.673859
Kepler-695 b,0.542157,3.04033042
Kepler-10 c,0.054117,45.29485
